time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,1.1,-3.2,5.2,,236.0,7.1,1025.6
2021-01-02,3.1,0.0,8.6,0.2,259.0,4.9,1026.8
2021-01-03,1.1,-3.4,4.3,0.0,245.0,5.7,1027.2
2021-01-04,-0.1,-2.3,6.3,0.0,218.0,7.1,1027.1
2021-01-05,-0.6,-4.4,7.3,0.0,241.0,5.4,1027.2
2021-01-06,1.4,-4.5,9.6,0.0,233.0,6.7,1028.5
2021-01-07,0.0,-3.4,5.1,0.0,247.0,7.1,1027.7
2021-01-08,0.0,-2.0,3.1,0.0,235.0,7.0,1027.8
2021-01-09,-0.8,-4.2,3.1,0.0,242.0,6.8,1027.3
2021-01-10,1.3,-3.7,3.2,0.0,7.0,3.6,1027.8
2021-01-11,3.1,1.8,7.0,0.0,238.0,5.0,1027.6
2021-01-12,3.2,-0.6,8.0,1.3,250.0,5.2,1026.5
2021-01-13,8.3,0.8,12.1,0.0,110.0,16.0,1016.1
2021-01-14,5.9,4.6,8.6,1.5,101.0,20.2,1006.5
2021-01-15,5.7,1.0,9.2,4.3,206.0,10.2,1010.6
2021-01-16,7.4,4.7,9.5,1.3,99.0,11.1,1011.8
2021-01-17,6.2,4.9,7.6,0.5,93.0,18.1,1005.5
2021-01-18,1.2,-2.0,6.6,1.0,214.0,13.6,1010.7
2021-01-19,-4.7,-11.0,0.0,2.3,230.0,9.0,1016.5
2021-01-20,-5.4,-11.6,-1.5,4.3,224.0,14.1,1019.1
2021-01-21,-5.7,-13.2,0.6,0.0,216.0,8.0,1029.8
2021-01-22,-7.0,-12.9,-0.5,0.0,220.0,7.5,1033.5
2021-01-23,-6.6,-11.9,-0.5,0.0,220.0,8.0,1030.1
2021-01-24,-5.2,-11.4,2.0,0.0,225.0,7.6,1028.2
2021-01-25,-3.1,-10.0,3.1,0.0,225.0,6.2,1026.5
2021-01-26,-0.6,-5.4,4.9,0.0,231.0,6.2,1026.4
2021-01-27,1.6,-4.0,5.0,0.1,147.0,10.0,1020.8
2021-01-28,5.9,4.0,9.2,0.5,99.0,17.9,1011.8
2021-01-29,2.7,0.0,6.1,1.3,102.0,13.7,1009.1
2021-01-30,1.2,-4.9,5.0,15.2,207.0,9.7,1015.3
2021-01-31,3.5,0.7,5.9,2.8,86.0,14.3,1017.7
2021-02-01,5.4,2.0,9.0,0.3,104.0,6.5,1026.6
2021-02-02,5.2,1.0,11.0,0.0,306.0,5.9,1026.8
2021-02-03,4.2,-1.6,9.2,5.5,180.0,5.2,1024.1
2021-02-04,5.6,3.0,10.4,0.5,18.0,5.6,1021.1
2021-02-05,5.7,1.0,12.4,0.0,292.0,8.9,1019.0
2021-02-06,3.9,-2.8,12.3,0.0,311.0,7.5,1021.1
2021-02-07,3.4,-3.6,12.2,0.0,247.0,7.7,1021.5
