time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,5.0,-3.3,,,,,
2021-01-02,4.9,-0.6,11.4,0.1,288.0,2.9,1025.9
2021-01-03,3.6,-3.5,10.8,0.0,283.0,3.8,1027.5
2021-01-04,3.3,-3.1,8.5,0.0,296.0,4.3,1023.3
2021-01-05,3.3,-2.9,6.7,0.3,9.0,3.6,1020.2
2021-01-06,2.2,0.0,3.5,0.0,270.0,3.3,1025.7
2021-01-07,0.2,-2.0,4.0,0.0,32.0,2.9,1023.7
2021-01-08,3.8,0.7,8.4,0.0,334.0,3.5,1020.0
2021-01-09,5.4,0.0,9.6,0.2,312.0,3.8,1017.7
2021-01-10,8.4,4.3,12.5,7.6,317.0,2.5,1017.9
2021-01-11,11.7,6.4,16.5,6.8,273.0,4.5,1016.7
2021-01-12,14.1,5.8,18.5,2.8,294.0,6.0,1012.6
2021-01-13,4.7,2.9,16.1,0.5,208.0,10.6,1002.7
2021-01-14,1.1,-0.8,4.3,7.1,210.0,4.2,1005.6
2021-01-15,-1.7,-4.5,2.4,0.0,221.0,5.8,1011.6
2021-01-16,-3.2,-8.7,0.1,0.0,68.0,2.8,1013.7
2021-01-17,-0.9,-3.7,1.0,4.3,221.0,6.1,1006.0
2021-01-18,-6.9,-9.6,-2.5,2.8,220.0,6.1,1017.7
2021-01-19,-6.9,-14.7,-0.9,0.3,220.0,5.4,1024.7
2021-01-20,-4.7,-8.7,0.4,0.0,229.0,5.3,1026.8
2021-01-21,-2.4,-5.1,1.4,0.0,5.0,3.4,1031.0
2021-01-22,-2.2,-9.8,3.3,0.0,329.0,3.2,1030.9
2021-01-23,-0.1,-7.1,6.0,0.0,312.0,3.9,1025.6
2021-01-24,2.1,-3.8,7.1,0.2,317.0,3.5,1018.7
2021-01-25,4.9,-2.6,8.6,0.1,212.0,5.2,1014.8
2021-01-26,7.1,-0.4,12.0,0.9,187.0,5.4,1013.7
2021-01-27,8.6,3.9,12.8,4.0,174.0,12.5,1002.4
2021-01-28,-1.3,-4.5,4.7,2.3,232.0,6.2,1007.9
2021-01-29,-2.1,-6.8,3.6,0.0,216.0,5.2,1013.9
2021-01-30,1.6,-3.2,5.5,0.0,9.0,3.3,1008.3
