time,tavg,tmin,tmax,prcp,wdir,wspd,pres
2021-01-01,6.9,0.1,,,,,
2021-01-02,5.3,-1.0,14.2,5.8,111.0,7.4,1023.3
2021-01-03,5.1,-3.3,13.8,0.0,54.0,4.3,1023.7
2021-01-04,5.0,-3.6,14.2,0.0,89.0,7.4,1020.1
2021-01-05,7.0,-0.9,10.0,10.4,154.0,10.0,1018.4
2021-01-06,4.8,-0.7,12.0,4.1,98.0,5.0,1024.1
2021-01-07,6.2,-3.9,12.3,0.0,152.0,5.3,1022.7
2021-01-08,8.8,2.6,14.0,0.0,144.0,7.9,1020.0
2021-01-09,8.2,3.3,11.0,2.5,133.0,10.3,1018.8
2021-01-10,10.3,7.4,13.9,0.6,143.0,5.8,1020.9
2021-01-11,10.9,2.6,15.3,1.9,174.0,5.1,1021.4
2021-01-12,11.2,3.1,16.5,0.0,149.0,14.2,1015.4
2021-01-13,6.3,3.2,11.3,26.4,225.0,15.3,1005.4
2021-01-14,2.6,-1.0,5.0,1.8,253.0,9.9,1007.6
2021-01-15,0.1,-7.3,2.4,4.8,93.0,7.1,1011.7
2021-01-16,-0.6,-7.8,7.3,8.1,135.0,7.0,1008.0
2021-01-17,-1.8,-8.9,0.7,4.8,320.0,9.4,1009.2
2021-01-18,-3.6,-10.8,-0.3,1.0,19.0,8.0,1016.7
2021-01-19,-3.9,-10.2,1.1,0.3,81.0,12.9,1020.5
2021-01-20,-4.9,-14.0,0.7,0.0,346.0,5.1,1027.6
2021-01-21,-1.0,-10.3,5.6,0.0,134.0,4.3,1030.9
2021-01-22,3.2,-5.1,9.0,0.0,136.0,6.5,1028.8
2021-01-23,4.6,-2.1,11.0,0.2,158.0,7.2,1023.0
2021-01-24,6.2,2.9,9.7,2.4,171.0,12.4,1017.6
2021-01-25,6.7,4.8,9.1,6.6,169.0,13.6,1014.6
2021-01-26,8.8,3.4,11.3,0.0,169.0,13.2,1013.4
2021-01-27,5.2,-1.2,9.1,1.5,181.0,23.7,1002.3
2021-01-28,-1.8,-4.3,0.7,14.2,248.0,8.9,1010.8
2021-01-29,-2.0,-7.7,2.0,2.3,171.0,6.3,1016.1
2021-01-30,3.3,-0.9,6.2,1.5,130.0,13.4,1008.1
2021-01-31,5.3,2.8,11.3,16.5,132.0,7.8,1012.4
2021-02-01,8.9,-1.2,15.0,0.0,138.0,19.4,1014.9
2021-02-02,11.0,7.0,15.4,0.0,152.0,19.2,1016.0
2021-02-03,7.5,-0.9,15.0,0.0,66.0,5.6,1018.0
2021-02-04,6.2,-4.0,14.6,0.0,280.0,5.6,1018.9
2021-02-05,7.1,-4.0,16.0,0.0,74.0,6.6,1021.3
2021-02-06,5.3,-4.3,16.9,0.0,140.0,6.6,1020.1
2021-02-07,8.3,-3.7,17.8,0.0,179.0,7.2,1019.7
2021-02-08,10.8,1.4,17.7,1.6,137.0,13.6,1016.1
2021-02-09,9.1,2.0,15.0,0.8,198.0,10.8,1017.3
2021-02-10,7.8,1.1,13.0,2.3,215.0,9.6,1017.8
2021-02-11,8.1,-1.0,15.0,0.0,163.0,10.2,1016.0
2021-02-12,5.8,1.0,9.0,5.6,257.0,18.1,1015.5
2021-02-13,4.8,-0.4,9.3,0.0,277.0,5.0,1021.6
2021-02-14,5.5,-0.2,8.7,0.3,150.0,8.0,1015.4
2021-02-15,-1.2,-4.0,6.2,10.4,60.0,11.4,1015.0
2021-02-16,-2.8,-5.9,-1.0,1.5,36.0,26.2,1013.9
2021-02-17,-3.8,-8.5,0.2,0.0,22.0,17.8,1017.6
2021-02-18,-3.0,-11.5,2.0,0.3,64.0,5.8,1021.2
2021-02-19,1.2,-5.4,6.0,0.0,9.0,8.4,1025.7
2021-02-20,0.6,-4.2,5.9,0.0,97.0,5.8,1027.3
2021-02-21,4.0,-1.0,11.0,0.0,79.0,15.0,1026.0
2021-02-22,5.5,-8.8,14.0,0.0,91.0,12.1,1028.2
2021-02-23,8.7,-4.5,16.6,0.0,75.0,14.9,1028.5
